"Kjördæmi","A","B","D","G","H","I","J","K","L","M","R","S","T","V","Þ"
"Norðvestur","792","6104","4282","208",,"161","774",,"251","326",,"2122","328","1470","537"
"Norðaustur","1537","8173","5327","296",,"241","306",,"313",,,"2505","460","3733","716"
"Suður","1202","9262","7594","702",,"786","412",,"431",,,"2734","904","1581","1268"
"Suðvestur","4687","10944","15608","925",,"1838","188",,"1241",,,"6932","1927","3995","2541"
"Reykjavík suður","3790","5931","9464","575","55","1394","161","222","1025",,"54","5007","1163","4279","2179"
"Reykjavík norður","3576","5759","8180","556","71","1287","180",,"1397",,"64","4994","1073","5488","2407"
